Registrierte Arbeitslose, Früheres Bundesgebiet ohne Berlin-West (Quelle: Statistik der Bundesagentur für Arbeit)
Datum;Insgesamt, in 1000;Männer, in 1000;Frauen, in 1000;Jugendliche unter 20 Jahren, in 1000;Langzeitarbeitslose, in 1000
01/03/2005;3477;1938;1539;92;991
01/04/2005;3339;1816;1523;81;990
01/05/2005;3242;1746;1496;76;986
01/06/2005;3188;1705;1483;75;982
01/07/2005;3240;1717;1523;90;996
01/08/2005;3238;1702;1536;101;993
01/09/2005;3141;1644;1496;93;990
01/10/2005;3099;1619;1479;84;993
01/11/2005;3081;1612;1468;80;992
01/12/2005;3120;1653;1465;77;1003
01/01/2006;3362;1834;1529;79;1096
01/02/2006;3370;1851;1519;82;1153
01/03/2006;3318;1815;1503;83;1180
01/04/2006;3202;1712;1489;78;1164
01/05/2006;3049;1597;1452;72;1153
01/06/2006;2966;1536;1430;71;1152
01/07/2006;2960;1511;1449;83;1141
01/08/2006;2941;1484;1458;95;1125
01/09/2006;2835;1423;1413;82;1105
01/10/2006;2738;1368;1371;69;1083
01/11/2006;2673;1334;1339;62;1052
01/12/2006;2670;1340;1331;59;1034
01/01/2007;2816;1451;1365;58;1277
01/02/2007;2784;1444;1341;59;1245
01/03/2007;2696;1388;1308;57;1232
01/04/2007;2600;1313;1287;52;1244
01/05/2007;2493;1247;1246;50;1196
01/06/2007;2418;1201;1217;49;1145
01/07/2007;2441;1201;1239;63;1113
01/08/2007;2435;1189;1246;81;1099
01/09/2007;2326;1138;1189;67;1067
01/10/2007;2257;1107;1150;54;1037
01/11/2007;2217;1095;1122;50;998
01/12/2007;2223;1117;1106;48;963
01/01/2008;2376;1231;1145;49;969
01/02/2008;2340;1218;1122;49;947
01/03/2008;2265;1171;1094;46;925
01/04/2008;2210;1128;1082;42;916
01/05/2008;2134;1080;1053;40;893
01/06/2008;2068;1039;1029;39;866
01/07/2008;2115;1052;1062;52;858
01/08/2008;2104;1042;1062;61;844
