Registrierte Arbeitslose, Neue Länder und Berlin (Quelle: Statistik der Bundesagentur für Arbeit)
Datum;Insgesamt, in 1000;Männer, in 1000;Frauen, in 1000;Jugendliche unter 20 Jahren, in 1000;Langzeitarbeitslose, in 1000
01/03/2005;1789;988;800;36;643
01/04/2005;1713;925;788;34;630
01/05/2005;1643;878;765;31;616
01/06/2005;1592;843;750;32;603
01/07/2005;1597;834;762;48;600
01/08/2005;1560;806;753;53;584
01/09/2005;1506;776;730;49;569
01/10/2005;1456;747;710;38;555
01/11/2005;1450;745;705;34;547
01/12/2005;1485;778;707;32;548
01/01/2006;1648;898;750;32;577
01/02/2006;1677;925;752;33;580
01/03/2006;1659;915;745;32;581
01/04/2006;1589;856;733;30;572
01/05/2006;1490;781;708;28;557
01/06/2006;1432;739;693;27;550
01/07/2006;1426;723;703;37;547
01/08/2006;1431;716;714;47;542
01/09/2006;1402;699;704;41;536
01/10/2006;1346;667;680;32;525
01/11/2006;1323;655;668;28;515
01/12/2006;1338;671;666;26;516
01/01/2007;1446;754;692;26;640
01/02/2007;1442;758;684;25;637
01/03/2007;1409;737;671;24;621
01/04/2007;1359;699;659;22;634
01/05/2007;1303;663;640;21;620
01/06/2007;1255;632;622;20;599
01/07/2007;1260;627;633;28;589
01/08/2007;1257;621;636;40;575
01/09/2007;1204;596;608;33;553
01/10/2007;1164;576;588;25;540
01/11/2007;1150;573;577;22;525
01/12/2007;1172;596;576;20;519
01/01/2008;1272;671;601;20;529
01/02/2008;1266;671;595;21;520
01/03/2008;1232;650;582;20;509
01/04/2008;1194;621;573;18;503
01/05/2008;1140;587;553;17;487
01/06/2008;1084;552;531;16;465
01/07/2008;1087;547;540;24;454
01/08/2008;1084;543;541;33;441
01/09/2008;1037;522;515;26;421
01/10/2008;1005;507;498;20;410
01/11/2008;1001;510;491;17;397
01/12/2008;1041;545;495;17;392
01/01/2009;1180;646;533;17;402
01/02/2009;1201;666;535;18;398
01/03/2009;1204;671;533;18;393
01/04/2009;1182;652;530;17;394
01/05/2009;1122;614;507;16;382
01/06/2009;1089;593;496;16;376
01/07/2009;1092;588;504;23;372
01/08/2009;1080;579;501;27;367
01/09/2009;1038;558;480;22;363
01/10/2009;998;537;461;17;357
01/11/2009;998;540;458;15;355
01/12/2009;1026;563;462;15;360
01/01/2010;1146;652;494;15;379
01/02/2010;1160;667;493;16;379
01/03/2010;1138;653;485;15;379
01/04/2010;1076;601;475;14;379
01/05/2010;1016;560;457;13;370
01/06/2010;977;530;446;12;363
01/07/2010;982;522;460;18;357
01/08/2010;968;512;456;20;352
01/09/2010;927;491;436;16;340
01/10/2010;901;476;425;13;332
01/11/2010;901;478;423;12;328
01/12/2010;947;516;431;11;329
01/01/2011;1075;606;469;12;341
01/02/2011;1075;607;468;12;342
01/03/2011;1043;583;460;12;339
01/04/2011;993;543;450;12;336
01/05/2011;949;514;435;11;333
01/06/2011;922;496;426;11;332
01/07/2011;929;493;436;15;329
01/08/2011;920;485;435;17;328
01/09/2011;877;464;413;13;320
01/10/2011;861;454;406;12;317
01/11/2011;862;458;405;11;317
01/12/2011;893;484;410;11;325
01/01/2012;999;559;440;11;343
01/02/2012;1006;569;437;12;344
01/03/2012;977;548;428;12;342
01/04/2012;940;517;423;11;341
01/05/2012;891;486;405;11;335
01/06/2012;863;467;396;11;328
01/07/2012;870;465;406;13;327
01/08/2012;869;461;408;16;324
01/09/2012;835;445;391;13;317
01/10/2012;824;440;384;11;315
01/11/2012;826;444;382;11;312
01/12/2012;866;476;390;10;316
01/01/2013;967;548;418;11;332
01/02/2013;968;553;414;11;330
01/03/2013;947;539;408;11;327
01/04/2013;912;513;400;11;324
01/05/2013;869;480;390;11;320
01/06/2013;836;457;379;10;313
01/07/2013;838;451;386;12;311
01/08/2013;839;448;391;14;310
01/09/2013;812;435;377;12;305
01/10/2013;803;431;372;11;305
01/11/2013;810;437;373;11;304
01/12/2013;840;461;379;11;309
01/01/2014;928;526;403;11;322
01/02/2014;928;528;400;11;320
01/03/2014;895;504;391;11;318
01/04/2014;850;471;379;11;313
01/05/2014;821;451;370;10;311
01/06/2014;799;436;363;10;306
01/07/2014;796;429;367;11;304
01/08/2014;797;425;372;14;301
01/09/2014;771;412;359;11;295
01/10/2014;758;406;352;10;293
01/11/2014;760;409;351;10;291
01/12/2014;783;428;355;10;292
01/01/2015;871;490;382;10;302
01/02/2015;864;489;375;11;297
01/03/2015;834;470;365;11;292
01/04/2015;799;442;357;10;292
01/05/2015;767;421;345;10;286
01/06/2015;742;405;337;10;282
01/07/2015;754;407;348;12;282
01/08/2015;754;403;350;14;280
01/09/2015;729;392;338;11;279
01/10/2015;719;388;331;11;277
01/11/2015;717;389;329;11;275
01/12/2015;739;407;332;11;277
01/01/2016;809;457;352;11;289
01/02/2016;804;457;347;12;287
01/03/2016;780;442;338;12;285
01/04/2016;740;414;326;12;280
01/05/2016;709;395;314;12;272
01/06/2016;686;380;307;12;266
01/07/2016;690;379;312;14;263
