Arbeitslosenquote, Deutschland (Quelle: Statistik der Bundesagentur für Arbeit)
Datum;Arbeitslosenquote aller zivilen Erwerbspersonen, insgesamt in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Männer in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Frauen in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Jugendliche unter 20 Jahren in %;Arbeitslosenquote aller abhängig zivilen Erwerbspersonen in %
01/03/2005;12,7;13,1;12,2;.;14,1
01/04/2005;12,2;12,3;12,1;.;13,5
01/05/2005;11,8;11,8;11,8;.;13,1
01/06/2005;11,5;11,4;11,6;.;12,8
01/07/2005;11,7;11,4;11,9;.;13,0
01/08/2005;11,6;11,3;11,9;.;12,9
01/09/2005;11,2;10,9;11,6;.;12,5
01/10/2005;11,0;10,6;11,4;.;12,2
01/11/2005;10,9;10,6;11,3;.;12,2
01/12/2005;11,1;10,9;11,3;.;12,4
01/01/2006;12,1;12,3;11,9;.;13,5
01/02/2006;12,2;12,5;11,8;.;13,6
01/03/2006;12,0;12,2;11,7;.;13,4
01/04/2006;11,5;11,5;11,6;.;12,9
01/05/2006;10,9;10,6;11,1;.;12,2
01/06/2006;10,5;10,2;10,9;.;11,8
01/07/2006;10,5;10,0;11,0;.;11,8
01/08/2006;10,5;9,8;11,2;.;11,7
01/09/2006;10,1;9,5;10,9;.;11,4
01/10/2006;9,8;9,1;10,5;.;10,9
01/11/2006;9,6;8,9;10,3;.;10,7
01/12/2006;9,6;9,0;10,3;.;10,7
01/01/2007;10,2;9,9;10,6;.;11,4
01/02/2007;10,1;9,9;10,4;.;11,3
01/03/2007;9,8;9,5;10,2;.;11,0
01/04/2007;9,5;9,0;10,0;.;10,6
01/05/2007;9,1;8,5;9,6;4,6;10,1
01/06/2007;8,8;8,2;9,4;4,5;9,8
01/07/2007;8,8;8,2;9,6;5,9;9,9
01/08/2007;8,8;8,1;9,6;7,9;9,9
01/09/2007;8,4;7,8;9,2;6,6;9,4
01/10/2007;8,2;7,5;8,9;5,2;9,1
01/11/2007;8,0;7,5;8,7;4,7;9,0
