Arbeitslosenquote, Neue Länder und Berlin (Quelle: Statistik der Bundesagentur für Arbeit)
Datum;Arbeitslosenquote aller zivilen Erwerbspersonen, insgesamt in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Männer in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Frauen in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Jugendliche unter 20 Jahren in %;Arbeitslosenquote aller abhängig zivilen Erwerbspersonen in %
01/03/2005;20,7;21,7;19,5;.;22,6
01/04/2005;19,8;20,4;19,2;.;21,6
01/05/2005;19,0;19,3;18,6;.;20,7
01/06/2005;18,5;18,7;18,4;.;20,4
01/07/2005;18,6;18,5;18,7;.;20,4
01/08/2005;18,1;17,9;18,4;.;20,0
01/09/2005;17,5;17,2;17,9;.;19,3
01/10/2005;16,9;16,6;17,4;.;18,7
01/11/2005;16,9;16,5;17,3;.;18,6
01/12/2005;17,3;17,2;17,3;.;19,0
01/01/2006;19,2;19,9;18,4;.;21,1
01/02/2006;19,5;20,5;18,4;.;21,5
01/03/2006;19,3;20,3;18,2;.;21,3
01/04/2006;18,5;19,0;17,9;.;20,3
01/05/2006;17,4;17,4;17,5;.;19,4
01/06/2006;16,8;16,5;17,1;.;18,7
01/07/2006;16,7;16,1;17,3;.;18,6
01/08/2006;16,7;15,9;17,6;.;18,6
01/09/2006;16,4;15,5;17,4;.;18,3
01/10/2006;15,8;14,8;16,8;.;17,5
01/11/2006;15,5;14,6;16,5;.;17,2
01/12/2006;15,7;14,9;16,4;.;17,4
01/01/2007;16,9;16,8;17,1;.;18,8
01/02/2007;16,9;16,9;16,9;.;18,8
01/03/2007;16,5;16,4;16,6;.;18,4
01/04/2007;15,9;15,6;16,3;.;17,7
01/05/2007;15,2;14,7;15,7;7,0;16,9
01/06/2007;14,6;14,0;15,3;6,7;16,3
01/07/2007;14,7;13,9;15,5;9,3;16,3
01/08/2007;14,6;13,8;15,6;13,6;16,3
01/09/2007;14,0;13,2;14,9;11,2;15,6
01/10/2007;13,6;12,8;14,4;8,4;15,1
01/11/2007;13,4;12,7;14,1;7,3;14,9
01/12/2007;13,6;13,2;14,1;6,9;15,2
01/01/2008;14,8;14,9;14,7;6,8;16,5
01/02/2008;14,7;14,9;14,6;7,0;16,4
01/03/2008;14,3;14,4;14,3;6,7;16,0
01/04/2008;13,9;13,8;14,1;6,2;15,5
01/05/2008;13,4;13,1;13,7;6,3;14,9
01/06/2008;12,7;12,3;13,1;5,9;14,2
01/07/2008;12,8;12,2;13,3;8,8;14,2
01/08/2008;12,7;12,1;13,4;11,8;14,2
01/09/2008;12,2;11,7;12,7;9,4;13,6
01/10/2008;11,8;11,3;12,3;7,2;13,2
01/11/2008;11,7;11,4;12,1;6,3;13,1
01/12/2008;12,2;12,2;12,2;6,1;13,6
01/01/2009;13,8;14,4;13,2;6,3;15,5
01/02/2009;14,1;14,9;13,2;6,5;15,7
01/03/2009;14,1;15,0;13,2;6,4;15,8
01/04/2009;13,9;14,6;13,1;6,1;15,5
01/05/2009;13,2;13,8;12,6;6,3;14,8
01/06/2009;12,9;13,3;12,3;6,2;14,4
01/07/2009;12,9;13,2;12,5;9,1;14,4
01/08/2009;12,7;13,0;12,5;10,8;14,2
01/09/2009;12,3;12,5;11,9;8,6;13,7
01/10/2009;11,8;12,1;11,5;6,7;13,2
01/11/2009;11,8;12,1;11,4;6,1;13,2
01/12/2009;12,1;12,7;11,5;5,9;13,5
01/01/2010;13,5;14,7;12,3;5,9;15,1
01/02/2010;13,7;15,0;12,3;6,2;15,3
01/03/2010;13,4;14,7;12,1;6,0;15,0
01/04/2010;12,7;13,5;11,8;5,5;14,2
01/05/2010;12,0;12,6;11,4;5,8;13,4
